CardinalDescription,"Males blaze bright red like little flames, while females are gentle and graceful. Their songs sound like tiny love ballads in the forest.",雄鸟一身红彤彤，像跳动的火苗；雌鸟则温柔优雅。它们的歌声就像小小的森林情歌。
CardinalHabitat,"Loves living along forest edges and in parks across North America—wherever there are trees and water, they feel at home.",喜欢住在北美的森林边和公园里，有树有水的地方就是它们的乐园。
Cockatiel,Cockatiel,玄凤鹦鹉
Cockatoo,Cockatoo,凤头鹦鹉
Budgerigar,Budgerigar,虎皮鹦鹉
Lorikeet,Lorikeet,吸蜜鹦鹉
Dodo,Dodo,渡渡鸟
Kakapo,Kakapo,鸮鹦鹉
Northern Cardinal,Northern Cardinal,北美红雀
Stop Watch,Stop Watch,秒表
Timer,Timer,计时器
Pomodoro Clock,Pomodoro Clock,番茄钟
NewBookKey,Book,书
Tutorial0,"Click to purchase fun items: Eggs for new birds, Decorations, and Tools",点击购买有趣的物品：新鸟的蛋、装饰品和工具
Tutorial1,Left-click the bird: Pet and earn money ,左键点击小鸟：抚摸并赚取金币
Tutorial2,Right-click the bird: Check info,右键点击小鸟：查看信息
Tutorial3,"Left-click the ground: Feed the baby bird and watch it eat, grow, and fly!",左键点击地面：喂食幼鸟，看它吃东西、成长并展翅飞翔！
Tutorial4,"Your tools: Map, Clock, Bird Book, Radio, Notes, and Settings",你的工具：地图、时钟、鸟类图鉴、收音机、笔记本和设置
Tutorial5,"Click here to switch the weather — cycle between Night, Dusk, Cloudy, Rainy, and Sunny. Pretty chill!",点击这里切换天气 —— 在夜晚、黄昏、多云、雨天和晴天之间自由切换，超惬意！ 
Tutorial6,Your money,你的金钱
Tutorial,Tutorial,教程
SellButton,Sell,售卖
todoSwitch,To-do list,待办事项
diarySwitch,Diary,日记
TutorialBag,Open Backpack,打开背包
ThanksKey,"Feather Land is still in active development, so you may encounter bugs, missing features, or balance issues. Your feedback means a lot—it helps make the game better and cozier. By joining this playtest, you’re helping shape how the forest grows. We may also use anonymous gameplay data to improve the game. Thank you for being part of the journey! ",目前游戏仍在开发中，可能会遇到一些小问题或尚未完善的内容，感谢你的理解与支持。  你的每一次点击与反馈，都是让这片森林变得更美好的动力。  希望你在探索和陪伴鸟宝的过程中，获得了一段温柔的时光和片刻的宁静。  我们会持续打磨这款游戏，欢迎你今后再次回到森林看看。  如果你喜欢《鸟语森林》，也欢迎将它加入 Steam 愿望单，游戏上线时即可第一时间收到通知。
KiwiDescription,"The kiwi is a small, flightless bird native to New Zealand. It has a long beak with nostrils at the tip, shaggy feathers, and strong legs. Nocturnal and shy, it uses its excellent sense of smell to find food.",几维鸟是新西兰特有的小型不会飞的鸟类。它有长喙，鼻孔位于喙尖，羽毛蓬松，腿部强壮。它性格害羞、夜间活动，靠灵敏的嗅觉寻找食物。
KiwiHabitat,"Kiwis live in New Zealand’s forests, grasslands, and scrublands. They prefer dense vegetation for cover and soft soil for digging. These birds make burrows or use natural shelters to hide during the day, emerging at night to forage for insects and worms.",几维鸟生活在新西兰的森林、草地和灌木地。它们喜欢植被茂密的地方和松软的土壤，便于挖掘。它们白天藏在洞穴或天然庇护所里，晚上出来觅食昆虫和蚯蚓。
ThanksTitle,Thanks for joining the Feather Land Playtest!,感谢你参与《鸟语森林》的试玩！
SteamButton,Join the wishlist,加入愿望单
Questionaire,Feedback,提交反馈
DevelopingMap,The habitat is being developed.,栖息地正在开发。
MaxEggLimitKey,Exceeding the number of forests,超出森林数量
GreyParrotDescription,"The African Grey Parrot is known for its intelligence and ability to mimic human speech. With a gentle nature, it’s one of the most popular companion birds.",灰鹦鹉以聪明和能言著称，能模仿人类语言，智力媲美儿童。性格温顺亲人，是极受欢迎的伴侣鸟类之一。
GreyParrotHabitat,"It lives in the tropical rainforests of West and Central Africa, especially the Congo Basin, favoring warm, humid forests with dense tree cover.",主要栖息在非洲中西部的热带雨林，常出没于刚果盆地一带，偏爱湿润温暖、林木茂密的自然环境。
Kiwi,Kiwi,几维鸟
Grey Parrot,Grey Parrot,灰鹦鹉
EggDescription_0_0,"Includes 3 Birds (Rarity: Common, Rare)",有6种鸟可以开，开出3只鸟
EggDescription_0_1,"Includes 3 Birds (Rarity: Rare, Endangered)",有9种鸟可以开，开出3只鸟
EggDescription_0_2,"Includes 4 Birds (Rarity: Rare, Endangered)",有8种鸟可以开，开出4只鸟
EggDescription_0_3,"Includes 4 Birds (Rarity: Endangered, Extinct)",有3种鸟可以开，开出4只鸟
Whether to purchase?,Confirm your purchase,是否购买？
SeedKey,Tiny and tasty seeds—small birds’ favorite snack.,细小而香甜的种子，是小鸟最爱的轻食。
GrainKey,Plump golden grains that fill birds with warmth and energy.,金黄饱满的谷粒，带来温暖与能量。
BeanKey,"Soft, round beans full of flavor and goodness.",圆润柔软的豆子，营养丰富又可口。
RiceKey,This is Rice,这是米粒
Manage,Manage,管理
Bear,Bear,熊
Shark,Shark,鲨鱼
Snow BuntingDescription,"Draped in white feathers brushed with brown and black, the snow bunting dances across frozen plains. Its soft song echoes through the cold air, a testament to resilience and purity in the heart of winter.",生活在寒冷的北方苔原，洁白羽毛在雪中闪烁，宛如飞舞的雪花。温柔而群居，象征纯净与在严冬中坚韧的生命。 
PtarmiganDescription,"A master of camouflage—white in winter, brown in summer. Found in Arctic and alpine regions, it blends perfectly with its surroundings. Calm yet resilient, representing nature’s quiet strength in the frozen wilderness.",伪装大师——冬白夏褐。栖于北极与高山地带，与环境融为一体。安静坚强，是冰原中自然的力量象征。
Red-billed ChoughDescription,"Recognized by its bright red bill and legs, this agile cliff-dweller performs graceful aerial acrobatics. Its clear, echoing calls often ring across coastal cliffs and mountain ridges, a true spirit of freedom.",以鲜红的嘴脚著称，灵巧的悬崖飞者，常在海崖与山岭间盘旋呼唤，自由的化身。
Black GrouseDescription,"Famous for its dramatic courtship dance, the male spreads its lyre-shaped tail and calls loudly to rivals. Inhabits forest edges and moorlands, embodying the wild rhythm of northern nature.",以雄鸟的求偶舞闻名，展开琴形尾羽高声鸣叫。生活在林缘与荒原，展现北地野性的律动。 
Northern GoshawkDescription,"A powerful forest hunter with broad wings and fierce eyes. It glides swiftly between trees to chase prey, symbolizing precision, dominance, and the untamed spirit of the woodlands",森林中的强者，宽翼锐目，穿梭树间追猎。象征精准、主宰与林中不羁的灵魂。
VultureDescription,"A patient scavenger soaring high on warm air currents. With keen eyesight, it cleans the land by consuming what others leave behind. Though often misunderstood, it plays a vital role in maintaining nature’s balance and renewal.",耐心的清道夫，乘暖气流高飞，以敏锐目光清理大地。虽被误解，却维持自然的循环与平衡。
Haast’s EagleDescription,"Once the world’s largest eagle, native to New Zealand. With a wingspan over three meters and talons like a tiger’s claws, it hunted giant moa birds. Extinct today, it remains a symbol of lost majesty and primal power.",曾是世界最大鹰，生于新西兰，翼展逾三米，以猛禽之爪猎巨鸟。虽已灭绝，仍象征失落的威严与原始力量。
Golden EagleDescription,"A legendary bird of prey with shining golden-brown feathers and piercing eyes. It soars over mountains with unmatched grace and strength, symbolizing courage, freedom, and the enduring spirit of the wild.",传说中的猛禽，金褐羽光亮、目光如炬。翱翔山巅，象征勇气、自由与不灭的野性。
Bearded Vulture Description,"A striking mountain scavenger with fiery eyes and long, feathered beard. Known for dropping bones from great heights to crack them open, it thrives where few others can—an elegant symbol of wisdom, survival, and ancient beauty",山中奇鸟，火红双眼与长羽须。会将骨高空抛落击碎取髓，象征智慧、生存与古老之美。 
Cinnamon-breasted BuntingDescription,"A small desert songbird with warm brown tones and fine spots. It thrives among dry rocks and shrubs, singing softly at dawn. Hardy and graceful, it represents life’s persistence in barren lands.",小型沙漠鸣鸟，棕色羽毛带细斑点，清晨轻唱于岩石与灌木间。坚韧优雅，象征荒原中的生命顽强。
Southern Yellow-billed HornbillDescription,"Known for its large yellow beak and curious look. Often called the “flying banana,” it struts through arid savannas searching for insects. Friendly and intelligent, it symbolizes humor and resilience.",巨大的黄嘴、好奇的神情，被称作“会飞的香蕉”。漫步干旱草原觅食昆虫，聪明亲近，象征幽默与坚毅。
Egyptian VultureDescription,A clever scavenger with white plumage and a spiky crest. It uses tools to crack eggs—one of the few birds to do so. Revered in ancient times as a sign of purity and wisdom.,聪慧的拾荒者，白羽尖冠，会用石头砸蛋，是少见的会用工具的鸟。古人视其为纯洁与智慧的象征。 
Pharaoh Eagle-OwlDescription,"A majestic nocturnal hunter with amber eyes and sandy feathers that blend with desert cliffs. Its deep call echoes through quiet nights, embodying mystery and silent power",夜行猛禽，琥珀眼、沙色羽，与岩壁融为一体。低沉的鸣声在夜中回荡，象征神秘与静默的力量。
Desert FinchDescription,"A gentle finch with peach-pink feathers and a soft, pleasant call. It flits among dry bushes in small flocks, finding beauty in simplicity amid the vast desert.",温柔的小雀，粉桃色羽毛、清亮的鸣声。结群穿梭在干枯灌木间，于荒漠中寻得朴素之美。 
Namaqua DoveDescription,"Tiny and elegant, with a long pointed tail and soft coo. Adapted to hot, arid plains, it carries a calm grace, symbolizing peace and endurance under the blazing sun.",娇小优雅，尾羽细长，呢喃轻柔。适应炙热旷野，象征平和与在烈日下的从容。 
Brown-necked RavenDescription,"A bold, intelligent bird with glossy black feathers and a brown collar. Survives where few others can, known for problem-solving and play. A true survivor and trickster of the desert sky",黑亮羽毛、颈带棕色，聪明大胆，能解谜、会嬉戏。能在极端环境中生存，是沙漠天空的智者与顽童。 
arabian bustardDescription,"A coastal desert wanderer with a striking black- and-white body and bright red beak. Feeds on shellfish along sun-baked shores, representing adaptability and sharp precision.",海岸荒漠的旅者，黑白相间的羽色与红喙。捕食贝类，象征灵活与精准的生存智慧。
OstrichDescription,"The desert’s giant runner—flightless but incredibly fast. Its long legs and strong stride let it cross endless dunes with ease, embodying speed, confidence, and survival.",
Houbara Bustard,"A cautious steppe bird with sandy feathers that mirror its surroundings. Renowned for its elegant courtship dance, it symbolizes balance, patience, and the quiet rhythm of the desert wind.",
Pharaoh Eagle-Owl,"A powerful nocturnal raptor with golden eyes and desert-colored plumage. It rules the night skies of rocky cliffs and dunes, hunting silently with precision. Revered as a guardian of ancient sands and the wisdom of the desert.",法老雕鸮
Long-tailed Tit Description,"A tiny, fluffy bird with a long graceful tail and playful calls. It flits through branches in small flocks, building intricate nests of moss and spider silk—embodying warmth, teamwork, and delicate beauty.",娇小圆润，尾羽细长如丝。常成群穿梭林间，呢喃轻快，互相依偎取暖。它们以团结与温情闻名，是寒林中最温暖的身影。
Turtledove Description,"A gentle bird with soft gray-brown feathers and a soothing coo. Symbol of peace and devotion, it thrives in warm, open lands, always returning to the same nesting spots year after year.",羽色柔和，颈间点缀珍珠般的斑纹。常在林边成双低语，鸣声温婉悠远。它们性情温顺、忠诚，被视为和平与爱的象征，为宁静的森林带来一份温柔与安宁。
RedBillDescription,"A striking black bird with glossy feathers, a bright red bill, and red legs. It performs agile acrobatics along cliffs and coastal winds, its cheerful calls echoing across valleys—a lively symbol of freedom and wild mountain spirit.",羽色漆黑发亮，双眼如星般聪慧。它们聪明机警，擅长模仿与解决问题，常在森林与人类之间自由穿行。乌鸦象征着智慧、预兆与重生，是夜色中最深邃的灵魂。
Previous,Previous,上一首
Next,Next,下一首
Pause,Pause,暂停
Play,Play,播放
Random,Random,随机播放
Loop,Loop,循环播放
Wind Volume,Wind Volume,雾天音量
Bird Vloume,Bird Vloume,鸟音量
Rain Vloume,Rain Vloume,雨天音量
Fire Vloume,Fire Vloume,火焰音量
Lightning Vloume,Lightning Vloume,闪电音量
Song Vloume,Song Vloume,歌曲音量
Snow Vloume,Snow Vloume,雪天音量
Snow Bunting,,雪雀
Ptarmigan,,雷鸟
Red-billed Chough,Chough,乌鸦
Black Grouse,,黑琴鸡
Northern Goshawk,,苍鹰
Vulture,,秃鹫
Haast’s Eagle,,哈斯特鹰
Golden Eagle,,金雕
Bearded Vulture,,胡秃鹫
Cinnamon-breasted Bunting,,栗胸鹀
Southern Yellow-billed Hornbill,,南方黄嘴犀鸟
Egyptian Vulture,,埃及秃鹫
Desert Finch,,沙雀
Namaqua Dove,,纳马夸鸠
Brown-necked Raven,,褐颈渡鸦
arabian bustard,,阿拉伯鹳亚种
Seed,Seed,种子
Grain,Grain,谷物
Bean,Bean,豆子
Rice,Rice,米粒
Eagle,Eurasian goshawk ,苍鹰
Dove,Turtle dove,斑鸠
Chough,Chough,乌鸦
Long-tailed Tit,,北长尾山雀
ManegeSell,Sell,售卖
Plushie Bear,,毛毛熊
Lamp,,吊灯
Plushie Shark,,咔咔鲨
TingTing Guitar,,吉他
Plushie BearDescription,"A tiny bear that’s always smiling, warm and soft like a hug.",总是微笑的小熊，喜欢晒太阳，也喜欢被轻轻拍头。
LampDescription,"A gentle light that sparkles like starlight, making every room feel cozy.",像星星一样挂在天花板上，轻轻一亮，就让房间变得温柔。
Plushie SharkDescription,Looks fierce but is secretly shy—loves naps and pillow forts.,看起来凶，其实胆小又爱睡觉，最喜欢泡在枕头堆里。
TingTing GuitarDescription,"Strums softly at sunset, turning the air into a gentle song.",喜欢在黄昏轻声弹唱，把空气都变成了旋律。
Cozy Tent,,咕咕帐篷
Tiny Tree,,小树咕噜
Carpet,,绒绒垫
Breezy Kite,,飘飘风筝
Cozy TentDescription,"A warm little tent where birds snuggle close, build their nests, and quietly welcome new life.",温暖的小帐篷，鸟儿们喜欢在里面依偎、筑巢，静静迎接新生命的到来。
Tiny TreeDescription,"A tiny tree that loves the sound of rustling leaves—quiet, calm, and happy.",小小的树，喜欢听风吹叶响，静静站着也很快乐。
CarpetDescription,"Soft and cozy, like stepping into a cloud’s gentle hug.",柔软又暖和的地毯，踩上去像被云朵抱住。
Breezy KiteDescription,"A playful kite that dances with the wind, painting smiles across the sky.",喜欢追着风跑的孩子，总在天空里画笑脸。
FisherDescription,"Dressed in gleaming emerald-blue feathers, it perches by the stream with sharp focus. In a flash, it dives to catch its prey—a living gem of agility, precision, and wonder.",羽色如蓝绿宝石般闪耀，常栖息在溪畔，专注地凝视水面。它以闪电般的速度俯冲入水捕猎，象征灵动、精准与自然的奇迹。
Kingfisher,,翠鸟
Parakeet1,Parakeet,虎皮鹦鹉
Turtledove,,斑鸠
