Chough,Chough,乌鸦,,,,,,
Cinnamon-breasted Bunting,,栗胸鹀,,,,,,
Cinnamon-breasted BuntingDescription,'A small desert songbird with warm brown tones and fine spots. It thrives,小型沙漠鸣鸟，棕色羽毛带细斑点，清晨轻唱于岩石与灌木间。坚韧优雅，象征荒原中的生命顽强。,,,,,,
Classic Book,Classic Book,原色图鉴,,,,,,
Classic Book Desc,A bird book in classic style,经典风格鸟类图鉴,,,,,,
Classic Notebook,Classic Notebook,原色记事本,,,,,,
Classic Notebook Desc,A notebook in classic colors,经典配色记事本,,,,,,
Classic Radio,Classic Radio,原色收音机,,,,,,
Classic Radio Desc,A radio in a classic style,经典配色的收音机,,,,,,
Classic Timer,Classic Timer,原色番茄钟,,,,,,
Classic Timer Desc,A timer in classic colors,经典配色番茄钟,,,,,,
Clean Mode,Clean Mode (C),简洁模式 (C),,,,,,
Clear,Clear,清除,,,,,,
Close,Close,关闭,關閉,닫기,Закрытый,Ferme,Cerca,閉じる
Cloud Notebook,Cloud Notebook,云朵记事本,,,,,,
Cloud Notebook Desc,A notebook in soft cloud colors,像云朵般轻柔配色,,,,,,
Coastal Flower,Coastal Flower,海边小花,,,,,,
Coastal Flower Desc,A small flower by the sea,海风吹拂的小花,,,,,,
Coastal Grass,Coastal Grass,可爱小草,,,,,,
Coastal Grass Desc,A small grass swaying in sea wind,海风中摇摆的小草,,,,,,
Cockatiel,Cockatiel,玄凤鹦鹉,玄鳳鸚鵡,,,,,
Cockatoo,Cockatoo,凤头鹦鹉,鳳頭鸚鵡,,,,,
CockatooDescription,"""Always wearing a feathery little hat, clever and a bit mischievous.",永远戴着一顶羽毛小帽子，聪明又调皮。寿命超长，就像一位会一直守在身边的老朋友。,永遠戴著一頂羽毛小帽子，聰明又調皮。壽命超長，就像一位會一直守在身邊的老朋友。,,,,,
CockatooHabitat,"""Found everywhere from rainforests to city parks\u2014an adaptable little",从雨林到城市公园都能见到，超级会适应环境的“小机灵鬼”。,從雨林到城市公園都能見到，超級會適應環境的「小機靈鬼」。,,,,,
Coins per minute,Coins per minute,每分钟金币收益,,,,,,
Common,Common,常见,常見,보통,Общий,Commun,Común,ふつうの
Confirm,Confirm,确认,,,,,,
Cormorant,Cormorant,鸬鹚,,,,,,
Cormorant Desc,"A sleek water bird diving swiftly beneath the surface, then resting quietly",会潜水的小鸟，钻进水里找鱼，停下时张开翅膀，像安静的小渔夫。,,,,,,
Cozy Tent,Cozy Tent,咕咕帐篷,,,,,,
Cozy Tent Desc,A tent where new birds are born,新鸟诞生的小小帐篷,,,,,,
Cozy TentDescription,'Baby birds are born here. ',小鸟会在这里慢慢出生。,,,,,,
Crab,Crab,螃蟹,,,,,,
Crab Desc,A crab wandering on sandy shore,海边沙地的小居民,,,,,,
Cream Notebook,Cream Notebook,奶油记事本,,,,,,
Cream Notebook Desc,A notebook with creamy tones,温柔奶油色记事本,,,,,,
Cream Radio,Cream Radio,奶油收音机,,,,,,
Cream Radio Desc,A radio in soft cream tones,柔和奶油色调收音机,,,,,,
Cream Timer,Cream Timer,奶油番茄钟,,,,,,
Cream Timer Desc,A timer with soft cream tones,柔和奶油色番茄钟,,,,,,
Current bird capacity,Current bird capacity,当前鸟的容量,,,,,,
Cursor,Cursor,鼠标,鼠标,커서,Курсор,Le curseur,Puntero,カーソル
Cursor1,Classic Cursor,原色鼠标,,,,,,
Cursor1Dec,A familiar little hand gently clicking through the forest.,一只熟悉的小手，陪你在森林里轻轻点击。,,,,,,
Cursor2,Sunshine Cursor,暖阳鼠标,,,,,,
Cursor2Dec,"A warm little hand like sunshine, lighting up wherever it clicks.",像阳光一样温暖的小手，点到哪里都亮起来。,,,,,,
Cursor3,Lavender Cursor,薰衣草鼠标,,,,,,
Cursor3Dec,A soft lavender hand quietly turning the pages of the forest.,淡紫色的小手，安静地陪你翻开森林的每一页。,,,,,,
Cursor4,Blush Cursor,樱粉鼠标,,,,,,
Cursor4Dec,A shy little hand gently poking around the forest.,一只害羞的小手，在森林里轻轻戳一下。,,,,,,
Cute Frog,Cute Frog,可爱青蛙,,,,,,
Cute Frog Desc,A frog living in the marsh,湿地里生活的小青蛙,,,,,,
Dandelion,Dandelion,蒲公英,,,,,,
Dandelion Desc,A dandelion drifting across the fields,田野飘着白绒的小花,,,,,,
Decoration,Decor,装饰,裝飾,장식,Украшение,La décoration.,Decoración,装飾
Decorations can only be placed on the ground!,Decorations can only be placed on the ground!,装饰物只能放在地面上！,裝飾物只能置於地面上！,장식은 땅에만 설치할 수 있습니다!,"""\u0423\u043A\u0440\u0430\u0448\u0435\u043D\u0438\u044F \u043C\u043E\u0433\u0443\u0442",Les décorations peuvent uniquement être placées au sol !,Las decoraciones solo pueden colocarse en el suelo.,土地にしか装飾物を置けません！
Delete,Delete,删除,刪除,삭제,Удалить,Effacer,Eliminar,デリート
Delete Save,Delete Save,删除存档,刪除檔案,삭제 저장,Удалить Сохранить,Supprimer Enregistrer,Eliminar Guardar,デリート・セーブ
Description,'About:',描述：,描述,설명,Описание,La description,Descripción,きじゅつ
Desert Beetle,Desert Beetle,甲虫,,,,,,
Desert Beetle Desc,A beetle crawling across the sand,沙地爬行的小甲虫,,,,,,
Desert Finch,,沙雀,,,,,,
Desert FinchDescription,"A gentle finch with peach-pink feathers and a soft, pleasant call. It",温柔的小雀，粉桃色羽毛、清亮的鸣声。结群穿梭在干枯灌木间，于荒漠中寻得朴素之美。 ,,,,,,
Desert Pink Flower,Pink Flower,粉色小花,,,,,,
Desert Pink Flower Desc,A small flower growing in desert sand,沙地中顽强的小花,,,,,,
Desert Succulent,Desert Succulent,小多肉,,,,,,
Desert Succulent Desc,A small succulent growing in sand,沙地里可爱的多肉,,,,,,
Dessert,Desert,沙漠,,,,,,
DevelopingMap,The habitat is being developed.,栖息地正在开发。,棲息地正在開發。,,,,,
Diary,Diary,日记,日記,일지,Дневник,Journal,Diario,日記
Dodo,Dodo,渡渡鸟,渡渡鳥,,,,,
DodoDescription,"""A chubby, round bird that couldn\u2019t fly but waddled in the cutest",圆滚滚的大鸟，虽然不会飞，但走起路来憨态可掬。现在已经灭绝。,圓滾滾的大鳥，雖然不會飛，但走起路來憨態可掬。現在已經滅絕。,"""\uB3C4\uB3C4\uB294 \uBAA8\uB9AC\uC154\uC2A4\uC758 \uC6D0\uC8FC\uBBFC\uC73C\uB85C,","""\u0414\u043E\u0434\u043E \u0431\u044B\u043B\u0430 \u0431\u043E\u043B\u044C\u0448\u0438\u043C,","""Le dindon \xE9tait un grand oiseau sans vol natif de Maurice. \xC9teint","""El pavo real era un gran p\xE1jaro sin alas nativo de Mauricio. Extinto",ドードーは、モーリツィウス島原産の巨大な、飛ぶことができない鳥です。17世紀に絶滅したため、人間が引き起こした滅びと脆弱な生態系を象徵しています。
DodoHabitat,"""The dodo lived in the forests of Mauritius, a tropical island in the",曾经住在毛里求斯岛的森林里，最喜欢吃掉在地上的水果。,曾經住在模里西斯島的森林裡，最喜歡吃掉在地上的水果。,"""\uB3C4\uB3C4\uC758 \uC11C\uC2DD\uC9C0\uB294 \uB9F9\uAE00\uC758 \uD574\uC548","""\u0414\u043E\u0434\u043E \u043E\u0431\u0438\u0442\u0430\u043B \u0432","""Les dodos habitaient les for\xEAts c\xF4ti\xE8res et les bois bassements","""Los d\xFAd\xF3s habitaban los bosques costeros y los bosques de llanura",ドодоたちはモーリシャスの沿岸森林と低地林に住み、果実、種子、および根を食べていた。彼らの孤島環境は、彼らのuniqueな進化を形成した。
Dove,Turtle dove,斑鸠,,,,,,
Dried Flower,Dried Flower,干花,,,,,,
Dried Flower Desc,A flower dried by desert wind,被风晒干的小花,,,,,,
Driftwood,Driftwood,小木头,,,,,,
Driftwood Desc,A piece of driftwood near water,水边漂来的旧木,,,,,,
Dry Blossom,Dry Blossom,枯萎小花,,,,,,
Dry Blossom Desc,A withered flower beside cold stone,风干在岩边的小花,,,,,,
Dry Flower,Dry Flower,干花,,,,,,
Dry Flower Desc,A flower dried by desert wind,被风晒干的小花,,,,,,
Dry Grass,Dry Grass,荒草,,,,,,
Dry Grass Desc,Wild grass on dry desert ground,干燥土地上的野草,,,,,,
Duration of Session,Duration of Session,工作时间,工作時間,세션 기간,"""\u041F\u0440\u043E\u0434\u043E\u043B\u0436\u0438\u0442\u0435\u043B\u044C\u043D\u043E\u0441\u0442\u044C",Durée de la session,Duración de la Sesión,セッションの持続時間
Dusky Thrush,Dusky Thrush,斑鸫,,,,,,
Dusky Thrush Desc,"A quiet beach wanderer with soft speckled feathers, gently walking along",安静的小旅者，在沙滩上缓缓行走，轻轻觅食，带着温柔又平静的气息。,,,,,,
Eagle,'Eurasian goshawk ',苍鹰,,,,,,
Earnings/Minute,'Income:',收入：,收益/分鐘,1분이익,Доход/Минута,Résultats par minute,Ingresos por Minuto,分間収入
EggDescription_0_0,"'Includes 3 Birds (Rarity: Common, Rare)'",有6种鸟可以开，开出3只鸟,,,,,,
EggDescription_0_1,"'Includes 3 Birds (Rarity: Rare, Endangered)'",有9种鸟可以开，开出3只鸟,,,,,,
EggDescription_0_2,"'Includes 4 Birds (Rarity: Rare, Endangered)'",有8种鸟可以开，开出4只鸟,,,,,,
EggDescription_0_3,"'Includes 4 Birds (Rarity: Endangered, Extinct)'",有3种鸟可以开，开出4只鸟,,,,,,
Eggs,Eggs,鸟蛋,鳥蛋,계란,Яков,Œufs,Huevos,エッグス
Egret,Egret,白鹭,,,,,,
Egret Desc,"A pure white bird with slender legs, stepping lightly through water,",洁白的小鸟，细长双腿轻轻行走，在水中优雅倒影，像流动的光一样温柔。,,,,,,
Egyptian Vulture,,埃及秃鹫,,,,,,
Egyptian VultureDescription,"""A clever scavenger with white plumage and a spiky crest. It uses tools",聪慧的拾荒者，白羽尖冠，会用石头砸蛋，是少见的会用工具的鸟。古人视其为纯洁与智慧的象征。 ,,,,,,
EgyptianVulture,,埃及秃鹫,,,,,,
EgyptianVultureDescription,'A gentle and clever Egyptian vulture living in the warm desert. It wanders,一只温柔又有点小聪明的埃及秃鹫，生活在温暖的沙漠中。虽然环境有些荒凉，但它总能找到有趣的小宝藏，是个安静又可爱的沙漠小伙伴。,,,,,,
Elegant Radio,Elegant Radio,典雅收音机,,,,,,
Elegant Radio Desc,A radio with elegant vintage style,优雅复古风收音机,,,,,,
Endangered,Endangered,濒危,瀕危,위험한 종족,Угроженная,En danger d'extinction,En peligro de extinción.,エンドジャングド
English,English,英文,英文,Englisch,Inglês,anglais,Inglés,Inglese
EnterText,I am going to...,今天要做...,,,,,,
Extinct,Extinct,灭绝,滅絕,사라짐,Исчезнувший,Éteint,Extinta,ボイド
Fallen Branch,Fallen Branch,小树枝,,,,,,
Fallen Branch Desc,A small branch fallen in mountain wind,随风掉下来的树枝,,,,,,
Field Scarecrow,Field Scarecrow,稻草人,,,,,,
Field Scarecrow Desc,A silent watcher standing in fields,田野中央的沉默守望,,,,,,
Field Windmill,Field Windmill,风车,,,,,,
Field Windmill Desc,A windmill turning in open fields,风吹转动的田野风车,,,,,,
Fire,Fire,火焰,,,,,,
FisherDescription,"""Dressed in gleaming emerald-blue feathers, it perches by the stream",羽色如蓝绿宝石般闪耀，常栖息在溪畔，专注地凝视水面。它以闪电般的速度俯冲入水捕猎，象征灵动、精准与自然的奇迹。,,,,,,
Fishing Net,Fishing Net,渔网,,,,,,
Fishing Net Desc,An old fishing net left on shore,被遗忘在岸边的渔网,,,,,,
Flower,Flower,花,花朵,꽃,Цветок,La fleur,La flor,ハナ
Flute,Flute,长笛,,,,,,
Focus succeed! {0} Bonus Coin Earned!,Focus succeed! {0} Bonus Coin Earned!,专注成功！获得{0}个奖励金币！,,,,,,
Focus succeeded! {0} Bonus Coin Earned!,Focus succeeded! {0} Bonus Coin Earned!,专注成功！获得 {0} 个奖励金币！,,,,,,
Food,Food,食物,食物,식물,Пища,Aliment,Alimentación,食料
Forest,Forest,森林,,,,,,
Forest Mushroom,Little Friend,小蘑菇,,,,,,
Forest Mushroom Desc,A small mushroom on the forest floor,地面上的小小蘑菇,,,,,,
Four Leaf Clover,Clover,四叶草,,,,,,
Four Leaf Clover Desc,A lucky clover beside the field,田边偶然出现的幸运草,,,,,,
French,French,法语,法語,프랑스어,Французский,Le français,Francés,フランス語
Frost Crystal,Frost Crystal,冰晶,,,,,,
Frost Crystal Desc,A crystal of frost in frozen wind,寒风凝结成透明晶体,,,,,,
Frozen Pond,Frozen Pond,冰水潭,,,,,,
Frozen Pond Desc,A pond covered with thin ice,结着薄冰的小水潭,,,,,,
Frozen Stone,Frozen Stone,冻石,,,,,,
Frozen Stone Desc,A frozen stone in the tundra,寒原上沉默的石头,,,,,,
Full Screen,Full Screen,全屏模式,全屏模式,Vollbild,Tela cheia,Écran Intégral,Pantalla Completa,Schermo intero
Golden Eagle,,金雕,,,,,,
Golden EagleDescription,A legendary bird of prey with shining golden-brown feathers and piercing,传说中的猛禽，金褐羽光亮、目光如炬。翱翔山巅，象征勇气、自由与不灭的野性。,,,,,,
Golden Wheat,Golden Wheat,麦穗,,,,,,
Golden Wheat Desc,Golden wheat swaying in the wind,金色麦穗轻轻摇晃,,,,,,
Goose,Goose,鸿雁,,,,,,
Goose Desc,"A round and confident bird waddling near water, sometimes loud but always",圆滚滚的小鸟，在水边摇摆行走，偶尔吵闹却很可爱，给湿地带来一点活泼气息。,,,,,,
Grain,Grain,谷物,,,,,,
GrainKey,'Plump golden grains that fill birds with warmth and energy. Acceleration,金黄饱满的谷粒，带来温暖与能量。,,,,,,
Great Auk,Great Auk,大海雀,,,,,,
Great Auk Desc,"A quiet seaside walker from another time, waddling gently along the shore,",来自过去的海边小鸟，慢慢摇摆行走，留下轻轻足迹，带着安静又怀旧的气息。,,,,,,
Great Bustard,Great Bustard,大鸨,,,,,,
Great Bustard Desc,"A large bird moving steadily across open fields, calm and grounded, blending",在田野中缓缓行走的大鸟，沉稳安静，与开阔土地融为一体。,,,,,,
Grey Parrot,Grey Parrot,灰鹦鹉,灰鸚鵡,,,,,
Grey Plover,Grey Plover,灰斑鸻 ,,,,,,
Grey Plover Desc,"A stocky coastal wanderer dressed in silver-grey spots, darting across",披着银灰斑纹的迁徙水鸟，在湿润沙滩上急冲几步便骤然静止，靠感知脚下沙中猎物的细微动静来觅食。,,,,,,
GreyParrotDescription,"""The African Grey Parrot is known for its intelligence and ability to",灰鹦鹉以聪明和能言著称，能模仿人类语言，智力媲美儿童。性格温顺亲人，是极受欢迎的伴侣鸟类之一。,灰鸚鵡以聰明與善語著稱，能模仿人類語言，智商堪比孩童。性格溫馴親人，是受歡迎的伴侶鳥類。,,,,,
GreyParrotHabitat,"It lives in the tropical rainforests of West and Central Africa, especially",主要栖息在非洲中西部的热带雨林，常出没于刚果盆地一带，偏爱湿润温暖、林木茂密的自然环境。,主要棲息於非洲中西部熱帶雨林，常見於剛果盆地，偏好溫暖潮濕、林木茂密的自然環境。,,,,,
Growth,Status,状态,,,,,,
HIGH,,,,,,,,
Haast’s Eagle,,哈斯特鹰,,,,,,
Haast’s EagleDescription,"""Once the world\u2019s largest eagle, native to New Zealand. With a wingspan",曾是世界最大鹰，生于新西兰，翼展逾三米，以猛禽之爪猎巨鸟。虽已灭绝，仍象征失落的威严与原始力量。,,,,,,
Habitat,Habitat,栖息地,棲息地,습성,Хабитат,Le habitat,Hábitat,ジハビット
Habitat is developing!,Habitat is developing!,栖息地正在开发！,,,,,,
Handpan,Handpan,手碟,,,,,,
Hold,Buy one? Owned,买一个？已拥有,,,,,,
Houbara Bustard,A cautious steppe bird with sandy feathers that mirror its surroundings.,,,,,,,
Hour,Hour,小时,小時,시,Часы,Heures,Horas,時間
Ice Crystal,Ice Crystal,冰晶,,,,,,
Ice Crystal Desc,A crystal of frost in frozen wind,寒风凝结成透明晶体,,,,,,
Ice Pond,Ice Pond,冰水潭,,,,,,
Ice Pond Desc,A pond covered with thin ice,结着薄冰的小水潭,,,,,,
Insufficient coins,Coins are not enogh!,金币不足！,金幣不足,이용 불가 동전,"""\u041D\u0435\u0434\u043E\u0441\u0442\u0430\u0442\u043E\u0447\u043D\u043E",Monnaies insuffisantes,Monedas insuficientes,コイン不足
Ivory Gull,Ivory Gull,象牙鸥,,,,,,
Ivory Gull Desc,"One of the few birds that lives year-round in the High Arctic, its pure",全年生活在高纬度极地的洁白海鸥，常跟随北极熊觅食残骸，羽色与浮冰融为一体，是极地的精灵。,,,,,,
Japanese,Japanese,日语,日語,일본어,японский язык,Japonais,Japonés,日本語
Kakapo,Kakapo,鸮鹦鹉,鴞鸚鵡,,,,,
KakapoDescription,A chunky night wanderer and the only parrot in the world that cannot,夜晚才会出来散步的胖墩墩，是世界上唯一不会飞的鹦鹉。笨笨的样子让人更想保护它。,夜晚才會出來散步的胖墩墩，是世界上唯一不會飛的鸚鵡。笨笨的樣子讓人更想保護它。,"""\uB274\uC9C8\uB79C\uB4DC\uC758 \uC0C8 Kakapo\uB294 \uC57C\uD589\uC131\uC774\uACE0","""\u041A\u0430\u043A\u0430\u043F\u043E - \u044D\u0442\u043E \u043D\u043E\u0447\u043D\u043E\u0439,","""Le kakapo est un perroquet nocturne et volant de Nouvelle-Z\xE9lande.","""El kakapo es un loro nocturno y volador de Nueva Zelanda. En peligro",新西蘭のノクターン、飛翔不能のパロットであるカカポは重体、モッシーの緑色をしておりowl-likeな顔を持つ。これは絶滅寸前の状態にある。
KakapoHabitat,"""Hidden away in New Zealand\u2019s misty mountain forests, it thrives",新西兰的山林深处，安静的原始森林才是它安心的家。,紐西蘭的山林深處，安靜的原始森林才是它安心的家。,"""\uCE74\uCE74\uD3EC\uB294 \uC704\uD5D8\uC774 \uC5C6\uB294 \uB274\uC9C8\uB79C\uB4DC","""\u041A\u0430\u043A\u0430\u043F\u043E \u043E\u0431\u0438\u0442\u0430\u044E\u0442","""Les k\u0101kapos habitent les for\xEAts indig\xE8nes, les landes et","Los kakapos habitan bosques nativos, matorrales y praderas de hierba","""\u30AB\u30AB\u30DD\u306F\u3001\u30CB\u30E5\u30FC\u30B8\u30FC\u30E9\u30F3\u30C9\u306E\u7121\u6355\u98DF\u52D5\u7269\u5CF6\u3067\u3001\u539F\u751F\u6797\u3001\u4F4E\u6728\u8349\u5730\u5E2F\u3001\u30C4\u30C3\u30B3\u30B9\u30B0\u30E9\u30B9\u30E9\u30F3\u30C9\u306B\u68F2\u606F\u3059\u308B\u3002\u5F7C\u3089\u306F\u7A74\u5C45"
Kingfisher,,翠鸟,,,,,,
Kiwi,Kiwi,几维鸟,幾維鳥,,,,,
KiwiDescription,"A shy nocturnal wanderer with a long beak. It sniffs the earth gently,",几维鸟是新西兰特有的小型不会飞的鸟类。它有长喙，鼻孔位于喙尖，羽毛蓬松，腿部强壮。它性格害羞、夜间活动，靠灵敏的嗅觉寻找食物。,幾維鳥是紐西蘭特有的小型不會飛的鳥類。它有長喙，鼻孔位於喙尖，羽毛蓬鬆，腿部強壯。它性格害羞、夜間活動，靠靈敏的嗅覺尋找食物。,,,,,
KiwiHabitat,,,幾維鳥生活在紐西蘭的森林、草地和灌木地。它們喜歡植被茂密的地方和鬆軟的土壤，便於挖掘。它們白天藏在洞穴或天然庇護所裡，晚上出來覓食昆蟲和蚯蚓。,,,,,
Korean,Korean,韩语,韓語,한국어,Корейский язык,Coreano,Coreano,韓国語
LOW,,,,,,,,
Lamp,Firefly Lamp,萤火灯,,,,,,
LampDescription,The forest feels a little dull without it.,没有它，森林会显得有点单调。,,,,,,
Language,Language,语言,,,,,,
Lifebuoy,Lifebuoy,救生圈,,,,,,
Lifebuoy Desc,Always ready to rescue,时刻准备好营救,,,,,,
Light,Light,光,燈光,백팩,Свет!,La lumière,Luz,光
Lightning Vloume,Lightning Vloume,闪电音量,,,,,,
Little Snail,Little Snail,小蜗牛,,,,,,
